task_id,model,mean_pinball_loss
8,lightgbm__ens_baseline,7.9384920901991896
8,xgboost__ens_baseline,8.032130599154234
9,benchmark_official,16.993680555555553
9,baseline_empirical_climatology,7.151742099046015
9,linear_qr,6.655619141817109
9,linear_qr__residual,6.523191261522436
9,lightgbm,6.609378490893344
9,lightgbm__residual,6.448960965520026
9,xgboost,6.592764610720806
9,xgboost__residual,6.3764014046699815
9,linear_qr__ens_baseline,6.750100256757299
9,lightgbm__ens_baseline,6.491449650270951
9,xgboost__ens_baseline,6.565459436301905
10,benchmark_official,13.40383064516129
10,baseline_empirical_climatology,9.582757532312371
10,linear_qr,8.108273039728799
10,linear_qr__residual,8.038671428144703
10,lightgbm,8.233231939395633
10,lightgbm__residual,7.921698508446385
10,xgboost,8.26967156390088
10,xgboost__residual,8.10385152815203
10,linear_qr__ens_baseline,8.666575703423593
10,lightgbm__ens_baseline,8.691792861944212
10,xgboost__ens_baseline,8.723597602315849
11,benchmark_official,17.31505376344086
11,baseline_empirical_climatology,11.62979303899207
11,linear_qr,12.483317529171323
11,linear_qr__residual,12.336624542242557
11,lightgbm,11.147593939443313
11,lightgbm__residual,11.333806456536017
11,xgboost,11.648648683058655
11,xgboost__residual,11.706617810826724
11,linear_qr__ens_baseline,11.88970449002247
11,lightgbm__ens_baseline,11.309758484198358
11,xgboost__ens_baseline,11.50247506632741
12,benchmark_official,13.837430555555555
12,baseline_empirical_climatology,6.106859096941639
12,linear_qr,7.485327025001643
12,linear_qr__residual,7.494050963308319
12,lightgbm,7.5241377147879875
12,lightgbm__residual,6.662305957812142
12,xgboost,7.946735216480046
12,xgboost__residual,6.8237798235493905
12,linear_qr__ens_baseline,6.639273297199463
12,lightgbm__ens_baseline,6.622305166522944
12,xgboost__ens_baseline,6.804096759229662
13,benchmark_official,6.42372311827957
13,baseline_empirical_climatology,3.720008727327034
13,linear_qr,5.433005431501572
13,linear_qr__residual,5.325034709467923
13,lightgbm,5.2949212145933044
13,lightgbm__residual,4.064557316664588
13,xgboost,5.536418834864923
13,xgboost__residual,4.118838747612128
13,linear_qr__ens_baseline,4.3821312117789715
13,lightgbm__ens_baseline,4.336652282223334
13,xgboost__ens_baseline,4.43993527806057
14,benchmark_official,10.937986111111114
14,baseline_empirical_climatology,5.503031283950616
14,linear_qr,6.411407640616004
14,linear_qr__residual,6.638407298858211
14,lightgbm,5.571574154866881
14,lightgbm__residual,5.617600752106415
14,xgboost,5.794076540618722
14,xgboost__residual,5.702842803922743
14,linear_qr__ens_baseline,5.765230722037461
14,lightgbm__ens_baseline,5.456972156325502
14,xgboost__ens_baseline,5.545031149307061
15,benchmark_official,34.0684811827957
15,baseline_empirical_climatology,8.784443230150972
15,linear_qr,10.595714826177309
15,linear_qr__residual,10.50211627168008
15,lightgbm,11.318011709884338
15,lightgbm__residual,11.97094268410288
15,xgboost,10.454893948402832
15,xgboost__residual,10.872532805962551
15,linear_qr__ens_baseline,9.592854585925743
15,lightgbm__ens_baseline,9.844865268870366
15,xgboost__ens_baseline,9.526443361635337
